Project,priority,aw,all,The density of actionable warnings
bcel,Priority 1,8,75,0.106666667
bcel,Priority 2,19,534,0.035580524
bcel,Priority 3,4,422,0.009478673
codec,Priority 1,29,84,0.345238095
codec,Priority 2,29,269,0.107806691
codec,Priority 3,13,553,0.023508137
collections,Priority 1,1,14,0.071428571
collections,Priority 2,2,169,0.01183432
collections,Priority 3,25,670,0.037313433
configuration,Priority 1,5,486,0.010288066
configuration,Priority 2,32,2481,0.012898025
configuration,Priority 3,34,3347,0.010158351
dbcp,Priority 1,2,14,0.142857143
dbcp,Priority 2,8,87,0.091954023
dbcp,Priority 3,6,420,0.014285714
digest,Priority 1,12,383,0.031331593
digest,Priority 2,18,769,0.023407022
digest,Priority 3,4,523,0.007648184
fileupload,Priority 1,5,119,0.042016807
fileupload,Priority 2,21,276,0.076086957
fileupload,Priority 3,15,346,0.043352601
mavendp,Priority 1,7,108,0.064814815
mavendp,Priority 2,12,1092,0.010989011
mavendp,Priority 3,2,701,0.002853067
net,Priority 1,2,462,0.004329004
net,Priority 2,13,546,0.023809524
net,Priority 3,22,1186,0.018549747
pool,Priority 1,2,41,0.048780488
pool,Priority 2,124,800,0.155
pool,Priority 3,77,2452,0.031402936